epoch	loss	acc	val_loss	val_acc
0	4.465867	0.183972	3.548388	0.311211
1	3.335596	0.340222	2.876305	0.409612
2	2.964336	0.391129	2.529613	0.463633
3	2.563541	0.453125	2.279708	0.504712
4	2.353532	0.478831	2.032907	0.545966
5	2.180461	0.517137	1.911586	0.556641
6	2.002977	0.529234	1.778470	0.584757
7	1.936745	0.557964	1.721543	0.586289
8	1.814773	0.565524	1.608299	0.617174
9	1.752970	0.575605	1.580756	0.613577
10	1.704266	0.588710	1.544135	0.622773
11	1.670202	0.596774	1.480741	0.627107
12	1.643426	0.591734	1.462421	0.641602
13	1.617428	0.612399	1.387200	0.645798
14	1.553116	0.602823	1.372419	0.654949
15	1.550538	0.616431	1.441010	0.635469
16	1.489310	0.630544	1.355026	0.653932
17	1.560727	0.604335	1.320430	0.654844
18	1.465011	0.640625	1.350265	0.653815
19	1.477572	0.629536	1.263273	0.670981
20	1.550603	0.626008	1.292855	0.672422
21	1.397832	0.655242	1.325188	0.656356
22	1.477720	0.625504	1.297206	0.665311
23	1.454125	0.640625	1.297448	0.670430
24	1.349090	0.654234	1.340901	0.658624
25	1.462070	0.646169	1.289787	0.670000
26	1.323576	0.668851	1.238790	0.690689
27	1.337365	0.659778	1.210902	0.686818
28	1.431074	0.638105	1.263161	0.679609
29	1.412991	0.630544	1.173564	0.692293
30	1.366234	0.662298	1.195836	0.690078
31	1.342740	0.660786	1.233096	0.678450
32	1.358190	0.670363	1.163791	0.697063
33	1.322357	0.641129	1.211278	0.688320
34	1.339491	0.647681	1.173013	0.694443
35	1.335034	0.657258	1.159693	0.697852
36	1.398242	0.645161	1.195467	0.691628
37	1.266550	0.681956	1.158230	0.694365
38	1.306652	0.666331	1.154398	0.690664
39	1.303090	0.670867	1.141988	0.703594
40	1.311395	0.669355	1.278246	0.674852
41	1.383591	0.649194	1.146872	0.704336
42	1.273706	0.670363	1.128029	0.703594
43	1.304749	0.665827	1.119882	0.708438
44	1.372155	0.648185	1.116899	0.706839
45	1.302198	0.668347	1.076232	0.715442
46	1.279138	0.677419	1.128716	0.700117
47	1.230614	0.670363	1.081449	0.716811
48	1.239702	0.670867	1.120471	0.704844
49	1.220166	0.686996	1.145004	0.701443
